# MEDRIPPLE SIMULATED PROTOTYPE DATA - NOT REAL PATIENT, FACILITY OR SUPPLY DATA.
# Deterministic daily consumption of Human insulin 100 IU/mL, 10 mL vial (unit: vial) for four simulated facilities.
# History window: 2026-07-03 to 2026-08-31 (60 days); forecasts are made as of 2026-09-01.
# Blank units_consumed values are intentional missing reports that exercise the data-quality checks.
# Scenario design is documented in intelligence/README.md.
date,facility_id,medicine_id,units_consumed,data_label
2026-07-03,facility-central-store,med-insulin-100iu-vial,19,SIMULATED_PROTOTYPE
2026-07-04,facility-central-store,med-insulin-100iu-vial,21,SIMULATED_PROTOTYPE
2026-07-05,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
2026-07-06,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
2026-07-07,facility-central-store,med-insulin-100iu-vial,22,SIMULATED_PROTOTYPE
2026-07-08,facility-central-store,med-insulin-100iu-vial,18,SIMULATED_PROTOTYPE
2026-07-09,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
2026-07-10,facility-central-store,med-insulin-100iu-vial,19,SIMULATED_PROTOTYPE
2026-07-11,facility-central-store,med-insulin-100iu-vial,21,SIMULATED_PROTOTYPE
2026-07-12,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
2026-07-13,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
2026-07-14,facility-central-store,med-insulin-100iu-vial,22,SIMULATED_PROTOTYPE
2026-07-15,facility-central-store,med-insulin-100iu-vial,18,SIMULATED_PROTOTYPE
2026-07-16,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
2026-07-17,facility-central-store,med-insulin-100iu-vial,19,SIMULATED_PROTOTYPE
2026-07-18,facility-central-store,med-insulin-100iu-vial,21,SIMULATED_PROTOTYPE
2026-07-19,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
2026-07-20,facility-central-store,med-insulin-100iu-vial,20,SIMULATED_PROTOTYPE
